kegg_annotation_id	name	definition	pathway	module
K00035	gal	D-galactose 1-dehydrogenase [EC:1.1.1.48]	ko00052  Galactose metabolism	
K00036	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	ko00030  Pentose phosphate pathway	M00004  Pentose phosphate pathway (Pentose phosphate cycle)
K00038	E1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	ko00140  Steroid hormone biosynthesis	
K00039	rbtD	ribitol 2-dehydrogenase [EC:1.1.1.56]	ko00040  Pentose and glucuronate interconversions	
K00040	uxuB	fructuronate reductase [EC:1.1.1.57]	ko00040  Pentose and glucuronate interconversions	M00061  D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
K00041	uxaB	tagaturonate reductase [EC:1.1.1.58]	ko00040  Pentose and glucuronate interconversions	M00631  D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P
K00042	garR, glxR	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	ko00630  Glyoxylate and dicarboxylate metabolism	
K00043	gbd	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	ko00650  Butanoate metabolism	
K00044	HSD17B1	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]	ko00140  Steroid hormone biosynthesis	
K00045	E1.1.1.67, mtlK	mannitol 2-dehydrogenase [EC:1.1.1.67]	ko00051  Fructose and mannose metabolism	
K00046	idnO	gluconate 5-dehydrogenase [EC:1.1.1.69]		
K00048	fucO	lactaldehyde reductase [EC:1.1.1.77]	ko00630  Glyoxylate and dicarboxylate metabolism	
K00049	GRHPR	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	ko00260  Glycine, serine and threonine metabolism	
K00050	ttuD	hydroxypyruvate reductase [EC:1.1.1.81]	ko00260  Glycine, serine and threonine metabolism	
K00051	E1.1.1.82	malate dehydrogenase (NADP+) [EC:1.1.1.82]	ko00620  Pyruvate metabolism	M00172  C4-dicarboxylic acid cycle, NADP - malic enzyme type
K00052	leuB, IMDH	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	ko00290  Valine, leucine and isoleucine biosynthesis	M00432  Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
K00053	ilvC	ketol-acid reductoisomerase [EC:1.1.1.86]	ko00290  Valine, leucine and isoleucine biosynthesis	M00019  Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
K00054	mvaA	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	ko00900  Terpenoid backbone biosynthesis	
K00055	E1.1.1.90	aryl-alcohol dehydrogenase [EC:1.1.1.90]	ko00350  Tyrosine metabolism	M00537  Xylene degradation, xylene => methylbenzoate
K00057	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	ko00564  Glycerophospholipid metabolism	
K00058	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	ko00260  Glycine, serine and threonine metabolism	M00020  Serine biosynthesis, glycerate-3P => serine
K00059	fabG	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	ko00061  Fatty acid biosynthesis	M00083  Fatty acid biosynthesis, elongation
K00060	tdh	threonine 3-dehydrogenase [EC:1.1.1.103]	ko00260  Glycine, serine and threonine metabolism	
K00061	RDH5	11-cis-retinol dehydrogenase [EC:1.1.1.315]	ko00830  Retinol metabolism	
K00062	E1.1.1.116	D-arabinose 1-dehydrogenase [EC:1.1.1.116]		
K00063	ARA1	D-arabinose 1-dehydrogenase [EC:1.1.1.117]		
K00064	E1.1.1.122	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	ko00051  Fructose and mannose metabolism	M00114  Ascorbate biosynthesis, plants, glucose-6P => ascorbate
K00065	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	ko00040  Pentose and glucuronate interconversions	
K00066	algD	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	ko00051  Fructose and mannose metabolism	
K00067	rfbD, rmlD	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	ko00521  Streptomycin biosynthesis	M00793  dTDP-L-rhamnose biosynthesis
K00068	srlD	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	ko00051  Fructose and mannose metabolism	
K00069	HPGD	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	ko05202  Transcriptional misregulation in cancer	
K00070	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]	ko00140  Steroid hormone biosynthesis	M00107  Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone
K00071	HSD11B2	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]	ko00140  Steroid hormone biosynthesis	M00109  C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone
K00072	SPR	sepiapterin reductase [EC:1.1.1.153]	ko00790  Folate biosynthesis	M00842  Tetrahydrobiopterin biosynthesis, GTP => BH4
K00073	allD	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	ko00230  Purine metabolism	
K00074	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	ko00360  Phenylalanine metabolism	
K00075	murB	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	ko00520  Amino sugar and nucleotide sugar metabolism	
K00076	hdhA	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	ko00121  Secondary bile acid biosynthesis	
K00077	panE, apbA	2-dehydropantoate 2-reductase [EC:1.1.1.169]	ko00770  Pantothenate and CoA biosynthesis	M00119  Pantothenate biosynthesis, valine/L-aspartate => pantothenate
K00078	DHDH	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	ko00040  Pentose and glucuronate interconversions	
K00079	CBR1	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]	ko00590  Arachidonic acid metabolism	
K00081	CBR2	carbonyl reductase 2 [EC:1.1.1.184]	ko00590  Arachidonic acid metabolism	
K00082	ribD2	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	ko00740  Riboflavin metabolism	M00125  Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
K00083	E1.1.1.195	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	ko00940  Phenylpropanoid biosynthesis	M00039  Monolignol biosynthesis, phenylalanine/tyrosine  => monolignol
K00084	CBR3	carbonyl reductase 3 [EC:1.1.1.184]	ko00590  Arachidonic acid metabolism	
K00085	E1.1.1.200	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]		
K00086	dhaT	1,3-propanediol dehydrogenase [EC:1.1.1.202]	ko00561  Glycerolipid metabolism	
K00087	ygeS, xdhA	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	ko00230  Purine metabolism	M00546  Purine degradation, xanthine => urea
K00088	IMPDH, guaB	IMP dehydrogenase [EC:1.1.1.205]	ko00230  Purine metabolism	M00050  Guanine ribonucleotide biosynthesis IMP => GDP,GTP
K00090	ghrB	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	ko00030  Pentose phosphate pathway	
K00091	E1.1.1.219	dihydroflavonol-4-reductase [EC:1.1.1.219]		
K00094	E1.1.1.251, gatD	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	ko00052  Galactose metabolism	
K00096	araM, egsA	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	ko00564  Glycerophospholipid metabolism	
K00097	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	ko00750  Vitamin B6 metabolism	M00124  Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P
K00098	idnD	L-idonate 5-dehydrogenase [EC:1.1.1.264]		
K00099	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	ko00900  Terpenoid backbone biosynthesis	M00096  C5 isoprenoid biosynthesis, non-mevalonate pathway
K00100	bdhAB	butanol dehydrogenase [EC:1.1.1.-]	ko00650  Butanoate metabolism	
K00101	lldD	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	ko00620  Pyruvate metabolism	
K00102	LDHD, dld	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	ko00620  Pyruvate metabolism	
K00103	GULO	L-gulonolactone oxidase [EC:1.1.3.8]	ko00053  Ascorbate and aldarate metabolism	M00129  Ascorbate biosynthesis, animals, glucose-1P => ascorbate
K00104	glcD	glycolate oxidase [EC:1.1.3.15]	ko00630  Glyoxylate and dicarboxylate metabolism	
K00105	E1.1.3.21	alpha-glycerophosphate oxidase [EC:1.1.3.21]	ko00564  Glycerophospholipid metabolism	
K00106	XDH	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	ko00230  Purine metabolism	M00546  Purine degradation, xanthine => urea
K00107	ALO	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]		
K00108	betA, CHDH	choline dehydrogenase [EC:1.1.99.1]	ko00260  Glycine, serine and threonine metabolism	M00555  Betaine biosynthesis, choline => betaine
K00109	L2HGDH	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	ko00650  Butanoate metabolism	
K00111	glpA, glpD	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	ko00564  Glycerophospholipid metabolism	
K00112	glpB	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	ko00564  Glycerophospholipid metabolism	
K00113	glpC	glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	ko00564  Glycerophospholipid metabolism	
K00114	exaA	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	ko00010  Glycolysis / Gluconeogenesis	
K00115	GLD	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]	ko00030  Pentose phosphate pathway	
K00116	mqo	malate dehydrogenase (quinone) [EC:1.1.5.4]	ko00020  Citrate cycle (TCA cycle)	M00009  Citrate cycle (TCA cycle, Krebs cycle)
K00117	gcd	quinoprotein glucose dehydrogenase [EC:1.1.5.2]	ko00030  Pentose phosphate pathway	
K00118	gfo	glucose-fructose oxidoreductase [EC:1.1.99.28]		
K00121	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	ko00010  Glycolysis / Gluconeogenesis	
K00122	FDH	formate dehydrogenase [EC:1.2.1.2]	ko00630  Glyoxylate and dicarboxylate metabolism	
K00123	fdoG, fdhF	formate dehydrogenase major subunit [EC:1.2.1.2]	ko00630  Glyoxylate and dicarboxylate metabolism	
K00124	fdoH	formate dehydrogenase iron-sulfur subunit	ko00630  Glyoxylate and dicarboxylate metabolism	
K00125	fdhB	formate dehydrogenase, beta subunit [EC:1.2.1.2]	ko00630  Glyoxylate and dicarboxylate metabolism	
K00126	fdsD	formate dehydrogenase subunit delta [EC:1.2.1.2]	ko00630  Glyoxylate and dicarboxylate metabolism	
K00127	fdoI	formate dehydrogenase subunit gamma	ko00630  Glyoxylate and dicarboxylate metabolism	
K00128	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ko00010  Glycolysis / Gluconeogenesis	M00135  GABA biosynthesis, eukaryotes, putrescine => GABA
K00129	E1.2.1.5	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]	ko00010  Glycolysis / Gluconeogenesis	
K00130	betB, gbsA	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	ko00260  Glycine, serine and threonine metabolism	M00555  Betaine biosynthesis, choline => betaine
K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	ko00010  Glycolysis / Gluconeogenesis	M00308  Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
K00132	E1.2.1.10	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	ko00620  Pyruvate metabolism	
K00133	asd	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00260  Glycine, serine and threonine metabolism	M00016  Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	ko00010  Glycolysis / Gluconeogenesis	M00001  Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K00135	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	ko00250  Alanine, aspartate and glutamate metabolism	M00027  GABA (gamma-Aminobutyrate) shunt
K00137	prr	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	ko00330  Arginine and proline metabolism	
K00138	aldB	aldehyde dehydrogenase [EC:1.2.1.-]	ko00010  Glycolysis / Gluconeogenesis	
K00139	ALDH5A1	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]	ko00250  Alanine, aspartate and glutamate metabolism	M00027  GABA (gamma-Aminobutyrate) shunt
K00140	mmsA, iolA, ALDH6A1	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	ko00280  Valine, leucine and isoleucine degradation	M00013  Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
K00141	xylC	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]	ko00622  Xylene degradation	M00537  Xylene degradation, xylene => methylbenzoate
K00142	AASDH	acyl-CoA synthetase [EC:6.2.1.-]		
K00143	LYS2	L-2-aminoadipate reductase [EC:1.2.1.95]	ko00300  Lysine biosynthesis	M00030  Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
K00145	argC	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	ko00220  Arginine biosynthesis	M00028  Ornithine biosynthesis, glutamate => ornithine
K00146	feaB	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]	ko00360  Phenylalanine metabolism	
K00147	proA	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	ko00330  Arginine and proline metabolism	M00015  Proline biosynthesis, glutamate => proline
K00148	fdhA	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	ko00625  Chloroalkane and chloroalkene degradation	
K00149	ALDH9A1	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]	ko00010  Glycolysis / Gluconeogenesis	M00135  GABA biosynthesis, eukaryotes, putrescine => GABA
K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	ko00010  Glycolysis / Gluconeogenesis	M00001  Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K00151	hpaE, hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]	ko00350  Tyrosine metabolism	M00533  Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate
K00152	nahF	salicylaldehyde dehydrogenase [EC:1.2.1.65]	ko00626  Naphthalene degradation	M00534  Naphthalene degradation, naphthalene => salicylate
K00153	E1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]		
K00154	E1.2.1.68	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]		
K00156	poxB	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	ko00620  Pyruvate metabolism	
K00157	AOX	aldehyde oxidase [EC:1.2.3.1]	ko00280  Valine, leucine and isoleucine degradation	
K00158	E1.2.3.3, poxL	pyruvate oxidase [EC:1.2.3.3]	ko00620  Pyruvate metabolism	
K00161	PDHA, pdhA	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	ko00010  Glycolysis / Gluconeogenesis	M00307  Pyruvate oxidation, pyruvate => acetyl-CoA
K00162	PDHB, pdhB	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	ko00010  Glycolysis / Gluconeogenesis	M00307  Pyruvate oxidation, pyruvate => acetyl-CoA
K00163	aceE	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	ko00010  Glycolysis / Gluconeogenesis	M00307  Pyruvate oxidation, pyruvate => acetyl-CoA
K00164	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	ko00020  Citrate cycle (TCA cycle)	M00009  Citrate cycle (TCA cycle, Krebs cycle)
K00166	BCKDHA, bkdA1	2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	ko00280  Valine, leucine and isoleucine degradation	M00036  Leucine degradation, leucine => acetoacetate + acetyl-CoA
K00167	BCKDHB, bkdA2	2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	ko00280  Valine, leucine and isoleucine degradation	M00036  Leucine degradation, leucine => acetoacetate + acetyl-CoA
K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	ko00010  Glycolysis / Gluconeogenesis	M00173  Reductive citrate cycle (Arnon-Buchanan cycle)
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	ko00010  Glycolysis / Gluconeogenesis	M00173  Reductive citrate cycle (Arnon-Buchanan cycle)
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	ko00010  Glycolysis / Gluconeogenesis	M00173  Reductive citrate cycle (Arnon-Buchanan cycle)
K00172	porG	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	ko00010  Glycolysis / Gluconeogenesis	M00173  Reductive citrate cycle (Arnon-Buchanan cycle)
K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	ko00010  Glycolysis / Gluconeogenesis	M00009  Citrate cycle (TCA cycle, Krebs cycle)
K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	ko00010  Glycolysis / Gluconeogenesis	M00009  Citrate cycle (TCA cycle, Krebs cycle)
K00176	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	ko00020  Citrate cycle (TCA cycle)	M00009  Citrate cycle (TCA cycle, Krebs cycle)
K00177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	ko00020  Citrate cycle (TCA cycle)	M00009  Citrate cycle (TCA cycle, Krebs cycle)
K00179	iorA	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]		
K00180	iorB	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]		
K00181	PORCN	O-palmitoleoyl transferase [EC:2.3.1.250]	ko04310  Wnt signaling pathway	
K00182	WNT2	wingless-type MMTV integration site family, member 2	ko04150  mTOR signaling pathway	M00677  Wnt signaling
K00183	K00183	prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit		
K00184	K00184	prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit		
K00185	K00185	prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit		
K00186	vorA	2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]	ko00280  Valine, leucine and isoleucine degradation	
K00187	vorB	2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]	ko00280  Valine, leucine and isoleucine degradation	
K00188	vorD	2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]	ko00280  Valine, leucine and isoleucine degradation	
K00192	cdhA	acetyl-CoA decarbonylase/synthase complex subunit alpha [EC:1.2.7.4]	ko00680  Methane metabolism	M00422  Acetyl-CoA pathway, CO2 => acetyl-CoA
K00193	cdhC	acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-]	ko00680  Methane metabolism	M00357  Methanogenesis, acetate => methane
K00194	cdhD, acsD	acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]	ko00680  Methane metabolism	M00357  Methanogenesis, acetate => methane
K00195	cdhB	acetyl-CoA decarbonylase/synthase complex subunit epsilon	ko00680  Methane metabolism	M00422  Acetyl-CoA pathway, CO2 => acetyl-CoA
K00196	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	ko00633  Nitrotoluene degradation	
K00197	cdhE, acsC	acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245]	ko00680  Methane metabolism	M00357  Methanogenesis, acetate => methane
K00198	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	ko00633  Nitrotoluene degradation	M00377  Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
K00200	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	ko00680  Methane metabolism	M00567  Methanogenesis, CO2 => methane
K00201	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	ko00680  Methane metabolism	M00567  Methanogenesis, CO2 => methane
K00202	fwdC, fmdC	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	ko00680  Methane metabolism	M00567  Methanogenesis, CO2 => methane
K00203	fwdD, fmdD	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	ko00680  Methane metabolism	M00567  Methanogenesis, CO2 => methane
K00204	fwdH	4Fe-4S ferredoxin	ko00680  Methane metabolism	M00567  Methanogenesis, CO2 => methane
K00205	fwdF, fmdF	4Fe-4S ferredoxin	ko00680  Methane metabolism	M00567  Methanogenesis, CO2 => methane
K00207	DPYD	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]	ko00240  Pyrimidine metabolism	M00046  Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate
K00208	fabI	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	ko00061  Fatty acid biosynthesis	M00083  Fatty acid biosynthesis, elongation
K00209	fabV, ter	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	ko00061  Fatty acid biosynthesis	M00083  Fatty acid biosynthesis, elongation
